products,,,,,,
Yellowtail amberjack,Seriola lalandi,Aquatic foods,Fishes,"369,93","9,86",
Pollock,Pollachius,Aquatic foods,Fishes,"297,62","3,57",
Albacore tuna,Thunnus alalunga,Aquatic foods,Fishes,"63,84","5,07",
Gadus (Common cod),Gadus,Aquatic foods,Fishes,"612,25","7,92",
Atlantic halibut,Hippoglossus hippoglossus,Aquatic foods,Fishes,"345,41","5,69",
Pacific halibut,Hippoglossus stenolepis,Aquatic foods,Fishes,"74,8","4,5",
Pacific salmon,Oncorhynchus,Aquatic foods,Fishes,"567,53","4,78",
Smelt,Osmeridae,Aquatic foods,Fishes,"186,87","2,08",
Clupeinae (Herring; Sardine; Sprat),Clupeinae,Aquatic foods,Fishes,"146,65","0,68",
Spiny lobster,Palinuridae,Aquatic foods,Crustaceans,"165,54","0,21",
Snow crab,Chionoecetes opilio,Aquatic foods,Crustaceans,"902,83","5,98",
Percoidei (Bass and others),Percoidei,Aquatic foods,Fishes,"894,63","4,11",
Perciformes (Perch-like fishes),Perciformes,Aquatic foods,Fishes,"717,81","7,67",
Bivalvia (Clam; Mussel; Oyster),Bivalvia,Aquatic foods,Mollusks,"182,19","3,29",
Squid,Teuthida,Aquatic foods,Mollusks,"891,09","9,66",
Shrimp,Caridea,Aquatic foods,Crustaceans,"148,56","4,65",
Crayfish,Astacidea,Aquatic foods,Crustaceans,"948,94","6,85",
Flatfish,Pleuronectiformes,Aquatic foods,Fishes,"829,21","8,86",
Walrus,Odobenus rosmarus,Aquatic foods,Pinnipeds,"119,11","9,59",
Red king crab,Paralithodes camtschaticus,Aquatic foods,Crustaceans,"262,93","7,34",
Cisco,Coregonus artedi,Aquatic foods,Fishes,"803,5","8,25",
Nuttall cockle,Clinocardium nuttallii,Aquatic foods,Mollusks,"110,28","6,76",
Pacific cod,Gadus macrocephalus,Aquatic foods,Fishes,"286,19","6,15",
Purple laver,Porphyra laciniata,Aquatic foods,Seaweed,"852,01","5,02",
Wakame,Undaria pinnatifida,Aquatic foods,Seaweed,"768,58",10,
Atlantic cod,Gadus morhua,Aquatic foods,Fishes,"906,37","9,91",
Common octopus,Octopus vulgaris,Aquatic foods,Mollusks,"301,73","7,46",
Striped bass,Morone saxatilis,Aquatic foods,Fishes,"802,61","1,54",
Atlantic croaker,Micropogonias undulatus,Aquatic foods,Fishes,"398,71","3,8",
Cusk,Brosme brosme,Aquatic foods,Fishes,"124,3","7,45",
Savoy cabbage,"Brassica oleracea var, sabauda",Vegetables,dasdsa,"652,67","9,92",1
Allium (Onion),Allium,Vegetables,dasdasdas,"490,91","9,86",84
Garden onion,Allium cepa,Vegetables,asdasd,"637,42","4,77",4
Leek,Allium porrum,Vegetables,,"133,21","5,98",15
Burdock,Arctium lappa,Vegetables,,"409,44","4,11",46
Asparagus,Asparagus officinalis,Vegetables,,"498,78","6,1",32
Common beet,Beta vulgaris,Vegetables,,"726,09","6,44",59
Chinese mustard,Brassica juncea,Vegetables,,"208,29","8,61",32
Swede,Brassica napus,Vegetables,,"352,31","2,56",20
Rape,"Brassica napus var, napus",Vegetables,,"270,05","9,3",26
Common cabbage,Brassica oleracea,Vegetables,,"844,26","2,43",53
Cauliflower,"Brassica oleracea var, botrytis",Vegetables,,"96,85","7,03",94
Brussel sprouts,"Brassica oleracea var, gemmifera",Vegetables,,"93,08","1,02",93
Kohlrabi,"Brassica oleracea var, gongylodes",Vegetables,,"923,25","2,1",89
Broccoli,"Brassica oleracea var, italica",Vegetables,,"955,26","0,43",98
Chinese cabbage,Brassica rapa,Vegetables,,"394,8","1,95",100
"Pepper (C, annuum)",Capsicum annuum,Vegetables,,"890,09","6,95",1
Endive,Cichorium endivia,Vegetables,,"268,21","4,01",15
Chicory,Cichorium intybus,Vegetables,,"714,11","1,98",87
Globe artichoke,Cynara scolymus,Vegetables,,"990,63","3,36",31
Wild carrot,Daucus carota,Vegetables,,"347,75","3,52",7
"Rocket salad (ssp,)","Eruca vesicaria ssp, sativa",Vegetables,,"857,74","6,58",55
Swamp cabbage,Ipomoea aquatica,Vegetables,,"809,46","1,81",24
Sweet potato,Ipomoea batatas,Vegetables,,"84,12","2,95",15
Lettuce,Lactuca sativa,Vegetables,,"151,21","7,92",51
Garden cress,Lepidium sativum,Vegetables,,"890,88","9,53",59
Olive,Olea europaea,Vegetables,,"354,73","8,78",17
Parsnip,Pastinaca sativa,Vegetables,,"702,82","2,38",51
Avocado,Persea americana,Vegetables,,"697,07","7,32",31
Radish,Raphanus sativus,Vegetables,,"109,17","6,26",99
Garden rhubarb,Rheum rhabarbarum,Vegetables,,"405,21","3,42",32
Garden tomato,Solanum lycopersicum,Vegetables,,"962,88","1,21",30
Cherry tomato,"Solanum lycopersicum var, cerasiforme",Vegetables,,"151,66","3,66",78
"Garden tomato (var,)","Solanum lycopersicum var, lycopersicum",Vegetables,,"911,18","4,39",82
Eggplant,Solanum melongena,Vegetables,,"142,64","5,35",85
Potato,Solanum tuberosum,Vegetables,,"652,26","5,58",49
Spinach,Spinacia oleracea,Vegetables,,"814,29","1,27",44
Celeriac,"Apium graveolens var, rapaceum",Vegetables,,"985,47","6,12",91
Celery stalks,"Apium graveolens var, dulce",Vegetables,,"995,23","7,03",50
"Garden onion (var,)","Allium cepa var, cepa",Vegetables,,"687,28","1,98",30
"Pepper (C, baccatum)","Capsicum baccatum var, baccatum",Vegetables,,"274,58","4,97",35
"Pepper (C, chinense)",Capsicum chinense,Vegetables,,"807,51","1,43",30
Pepper (Capsicum),Capsicum,Vegetables,,"846,3","7,52",47
Swiss chard,"Beta vulgaris ssp, cicla",Vegetables,,"367,94","2,08",4
Tronchuda cabbage,"Brassica oleracea var, costata",Vegetables,,"710,42","1,96",22
Shallot,Allium ascalonicum,Vegetables,,"710,37","9,5",51
Rocket salad,Eruca vesicaria,Vegetables,,"972,62","0,12",3
Carrot,"Daucus carota ssp, sativus",Vegetables,,"578,58","3,79",8
Black cabbage,"Brassica oleracea var, viridis",Vegetables,,"690,68","2,93",55
Chicory leaves,"Cichorium intybus var, foliosum",Vegetables,,"602,16","5,41",10
Komatsuna,"Brassica rapa var, perviridis",Vegetables,,"576,37","6,81",45
Pak choy,"Brassica rapa var, chinensis",Vegetables,,"949,59","7,41",42
Napa cabbage,"Brassica rapa var, pekinensis",Vegetables,,"565,74","8,29",90
Chicory roots,"Cichorium intybus var, sativum",Vegetables,,"115,73","4,25",68
Kai-lan,"Brassica oleracea var, alboglabra",Vegetables,,"149,66","8,5",52
Oxheart cabbage,"Brassica oleracea var, conica",Vegetables,,"110,27","7,14",34
Daikon radish,"Raphanus sativus var, longipinnatus",Vegetables,,"845,51","9,44",12
Black radish,"Raphanus sativus var, niger",Vegetables,,"87,72","1,29",85
"Radish (var,)","Raphanus sativus var, sativus",Vegetables,,"79,01","8,62",62
Red beetroot,"Beta vulgaris var, rubra",Vegetables,,"902,51","1,9",100
Arrowhead,Sagittaria latifolia,Vegetables,,752,"4,55",54
Arrowroot,Maranta arundinacea,Vegetables,,"250,42","8,12",28
Bamboo shoots,Phyllostachys edulis,Vegetables,,"841,64","5,12",64
Rapini,Brassica ruvo,Vegetables,,"481,21","0,26",20
Giant butterbur,Petasites japonicus,Vegetables,,"632,26","3,34",33
Cardoon,Cynara cardunculus,Vegetables,,"526,93","1,85",86
Carob,Ceratonia siliqua,Vegetables,,"77,04","7,74",66
Cassava,Manihot esculenta,Vegetables,,"974,65","8,74",66
Chinese broccoli,Brassica alboglabra,Vegetables,,"191,18","2,06",35
Chinese water chestnut,Eleocharis dulcis,Vegetables,,"119,35","5,41",35
Garland chrysanthemum,Chrysanthemum coronarium,Vegetables,,"619,69","7,61",66
Corn salad,Valerianella locusta,Vegetables,,"412,96","6,24",20
Oregon yampah,Perideridia oregana,Vegetables,,"463,1","8,19",18
Groundcherry,Physalis,Vegetables,,"760,1","7,61",27
Horseradish tree,Moringa oleifera,Vegetables,,"27,26","5,5",55
Jerusalem artichoke,Helianthus tuberosus,Vegetables,,"472,02","8,67",53
Jute,Corchorus olitorius,Vegetables,,"935,09","3,19",33
Kale,"Brassica napus var, pabularia",Vegetables,,"271,31","1,98",70
Lambsquarters,Chenopodium album,Vegetables,,"52,76","0,79",17
Wild leek,Allium ampeloprasum,Vegetables,,"681,3","0,21",78
Sacred lotus,Nelumbo nucifera,Vegetables,,"76,68","7,85",30
Malabar spinach,Basella alba,Vegetables,,"318,11","9,47",65
Alpine sweetvetch,Hedysarum alpinum,Vegetables,,"653,72","7,44",89
Mountain yam,Dioscorea pentaphylla,Vegetables,,"859,62","4,71",59
Mustard spinach,Brassica perviridis,Vegetables,,"31,15","5,04",62
New Zealand spinach,Tetragonia tetragonioides,Vegetables,,"818,45","2,08",94
Nopal,Opuntia cochenillifera,Vegetables,,"500,33","3,46",59
Okra,Abelmoschus esculentus,Vegetables,,"167,35","0,51",10
"Pepper (C, frutescens)","Capsicum annuum var, annuum",Vegetables,,"657,36","2,11",91
American pokeweed,Phytolacca americana,Vegetables,,"696,92","0,55",28
Prairie turnip,Pediomelum esculentum,Vegetables,,"374,26","1,73",98
Common salsify,Tragopogon porrifolius,Vegetables,,"771,69","6,06",43
Sesbania flower,Sesbania bispinosa,Vegetables,,"580,91","3,2",17
Taro,Colocasia esculenta,Vegetables,,"829,17","1,46",43
Mexican groundcherry,"Physalis philadelphica var, immaculata",Vegetables,,"169,31","0,25",27
Yam,Dioscorea,Vegetables,,"473,35","4,51",88
Jicama,Pachyrhizus erosus,Vegetables,,"716,28","8,61",8
Yautia,Xanthosoma sagittifolium,Vegetables,,"804,23","3,4",62
Alaska wild rhubarb,Polygonum alpinum,Vegetables,,"434,6","7,94",59
Jew's ear,Auricularia auricula-judae,Vegetables,,"362,65","6,08",70
Common mushroom,Agaricus bisporus,Vegetables,,"484,2","8,66",51
Shiitake,Lentinus edodes,Vegetables,,"41,83","3,43",44
Enokitake,Flammulina velutipes,Vegetables,,"731,6","8,16",32
Oyster mushroom,Pleurotus ostreatus,Vegetables,,"424,27","2,6",63
Cloud ear fungus,Auricularia polytricha,Vegetables,,"891,97","6,02",72
Maitake,Grifola frondosa,Vegetables,,"593,46","6,95",53
Ostrich fern,Matteuccia struthiopteris,Vegetables,,"103,79","0,17",49
Agave,Agave,Vegetables,,"373,53","7,3",43
Narrowleaf cattail,Typha angustifolia,Vegetables,,"724,61","5,48",83
Chanterelle,Cantharellus cibarius,Vegetables,,"618,99","0,88",30
Black salsify,Scorzonera hispanica,Vegetables,,"629,84","7,7",38
Thistle,Cirsium,Vegetables,,"842,74","4,67",25
Other vegetable product,NULL,Vegetables,,"632,95","3,35",37
Heart of palm,NULL,Vegetables,,"525,08","6,74",34
Morchella (Morel),Morchellaceae,Vegetables,,"318,06","1,92",30
Tree fern,Cyathea,Vegetables,,"778,05","0,66",51
"Pepper (C, pubescens)",Capsicum pubescens,Vegetables,,"799,87","5,11",32
Cabbage,"Brassica oleracea var, capitata",Vegetables,,"633,88","9,55",75
Mushrooms,NULL,Vegetables,,"304,98","8,66",96
Onion-family vegetables,NULL,Vegetables,,"113,33","6,47",20
Brassicas,NULL,Vegetables,,"509,52","3,37",59
Green vegetables,NULL,Vegetables,,"814,88","4,81",64
Root vegetables,NULL,Vegetables,,"721,53","1,37",69
Green bell pepper,Capsicum annuum,Vegetables,,"964,28","4,33",40
Yellow bell pepper,Capsicum annuum,Vegetables,,"274,48","3,04",81
Orange bell pepper,Capsicum annuum,Vegetables,,"820,9","3,83",81
Red bell pepper,Capsicum annuum,Vegetables,,"760,82","0,44",85
Italian sweet red pepper,Capsicum annuum,Vegetables,,"821,16","6,51",31
White cabbage,"Brassica oleracea L, var, capitata L, f, alba DC,",Vegetables,,"610,06","1,12",8
Romaine lettuce,"Lactuca sativa L, var, longifolia",Vegetables,,"584,7","7,96",61
shops,,,,,,
Nombre Tienda,Dirección,,,,,
Supermercado Delicioso,"Calle Principal 123, Ciudad X",,,,,
Tienda Frescura,"Avenida Central 456, Ciudad Y",,,,,
Mercado Sabor Urbano,"Plaza Comercial Z, Ciudad Z",,,,,
Gran Bazar Alimentario,"Calle de la Abundancia 789, Ciudad W",,,,,
MegaSuper Ahorro,"Calle de los Descuentos 234, Ciudad V",,,,,
EcoMarket,"Calle Ecológica 567, Ciudad U",,,,,
SuperCompras Express,"Avenida Rápida 890, Ciudad T",,,,,
Tienda Organix,"Calle Saludable 123, Ciudad S",,,,,
Mercado de la Esquina,"Esquina de la Calle 456, Ciudad R",,,,,
Fiesta de Sabores,"Plaza de la Fiesta 789, Ciudad Q",,,,,
FreshMart,"Avenida Fresca 234, Ciudad P",,,,,
La Esquina Del Gusto,"Esquina Deliciosa 567, Ciudad O",,,,,
EcoFriendly Market,"Calle EcoAmigable 901, Ciudad N",,,,,
El Rincón del Sabor,"Plaza del Sabor 234, Ciudad M",,,,,
SuperAhorradores,"Calle de las Ofertas 567, Ciudad L",,,,,
Gran Mercado Familiar,"Avenida Familiar 890, Ciudad K",,,,,
Tienda de la Esquina,"Esquina de la Calle 123, Ciudad J",,,,,
SuperCompraExpress,"Avenida Rápida 456, Ciudad I",,,,,
Organix Market,"Calle Saludable 789, Ciudad H",,,,,
El Bazar del Barrio,"Barrio Tradicional 234, Ciudad G",,,,,
customers,,,,,,
Ana García,,,,,,
Juan Rodríguez,,,,,,
María López,,,,,,
Carlos Martínez,,,,,,
Laura Hernández,,,,,,
Pedro Gómez,,,,,,
Sofía Díaz,,,,,,
Alejandro Pérez,,,,,,
Elena Fernández,,,,,,
Javier González,,,,,,
Isabel Ruiz,,,,,,
Francisco Sánchez,,,,,,
Carmen Torres,,,,,,
Miguel Vargas,,,,,,
Luisa Ramírez,,,,,,
Andrés Castro,,,,,,
Lorena Flores,,,,,,
Roberto Jiménez,,,,,,
Patricia Navarro,,,,,,
Daniel Reyes,,,,,,
Verónica Morales,,,,,,
Raúl Ortiz,,,,,,
Adriana Silva,,,,,,
Martín Molina,,,,,,
Silvia Herrera,,,,,,
José Medina,,,,,,
Cristina Ortega,,,,,,
Ricardo Ramos,,,,,,
Gabriela Cruz,,,,,,
Alberto Mendoza,,,,,,
Natalia Jiménez,,,,,,